label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10
0	537 m/s	0.6015	Modesto	chicken	0.292	0.4752	0.8207	676	-32	919	0.13
5	932 m/s	1.0577	Bakersfield	cat	0.7939	-0.0097	0.4804	385	680	397	0.3195
1	321 m/s	0.4748	Los Angeles	reptile	0.5035	0.7547	0.1691	212	76	229	0.9396
3	550 m/s	-0.0399	Moreno Valley	fish	1.4197	0.7978	0.5925	765	902	303	0.664
0	636 m/s	0.6663	Santa Clarita	chicken	0.2908	0.3217	0.6259	472	192	842	-0.049
3	368 m/s	0.0647	Modesto	fish	0.9983	0.8312	0.5395	1091	775	483	0.6511
3	526 m/s	0.1365	San Francisco	fish	0.855	0.7652	0.4895	1115	1194	430	0.9481
0	814 m/s	0.791	Modesto	chicken	0.1822	0.4805	0.7451	1096	340	847	0.0454
0	659 m/s	0.721	Modesto	chicken	0.2484	0.6085	0.6558	435	272	840	0.2989
4	690 m/s	0.4376	Chula Vista	rabbit	0.1966	0.2328	0.0882	-220	447	1005	0.7846
0	694 m/s	0.7716	Modesto	pig	0.1686	0.5683	0.6971	647	102	875	0.0713
3	664 m/s	0.3197	Anaheim	fish	0.7075	0.787	0.6605	894	N/A	465	0.7176
1	455 m/s	0.3682	Long Beach	rat, dog	0.5304	0.3718	0.1504	309	-140	71	0.9353
4	775 m/s	0.4081	San Bernardino	rabbit	0.4772	0.3507	0.1642	238	359	974	0.6453
0	708 m/s	0.6912	Modesto	chicken	0.2946	0.3906	0.4306	980	361	731	0.0797
1	395 m/s	0.5132	Los Angeles	guinea pig, hamster	0.806	0.5907	0.3367	553	115	265	0.9646
1	198 m/s	0.3906	Irvine	hamster	0.7218	0.5009	0.4053	523	-24	353	1.0148
3	559 m/s	0.1163	San Francisco	fish	1.0504	0.8461	0.6453	871	692	492	0.5734
3	567 m/s	0.1745	sAN fRANCISCO	fish	0.8581	0.7153	0.6226	862	690	224	0.8877
4	916 m/s	0.7313	Fresno		0.2671	0.3329	-0.0278	187	309	1049	0.4927
0	515 m/s	0.6099	Modesto	pig	0.3665	0.3436	0.7827	413	223	754	0.3308
2	212 m/s	0.3727	Anaheim	dog	0.1427	0.7793	1.0076	235	819	20	0.2394
4	761 m/s	0.553	Oakland	rabbit	0.2352	0.4521	-0.0975	109	502	1126	0.6405
4	731 m/s	0.7196	San Bernardino	rabbit	0.1282	0.3925	0.0625	343	499	1132	0.7683
2	83 m/s	0.4017	Anaheim	rat, dog	0.1789	0.9658	1.3626	742	820	223	0.5854
2	73 m/s	0.3569	Riverside	ferret	0.0976	0.9847	0.9611	288	738	44	0.2015
0	677 m/s	0.5889	Santa Clarita	pig	0.3054	0.2343	0.8729	781	219	703	0.2108
5	951 m/s	1.0232	San Diego	ferret	0.7037	0.1567	0.3885	441	753	653	0.3159
1	249 m/s	0.2697	Long Beach	guinea pig, reptile	0.7118	0.8191	0.4013	333	50	4	1.0283
1	476 m/s	0.5102	Long Beach	hamster, guinea pig	0.5059	0.6403	0.1506	445	137	309	0.9302
5	928 m/s	1.0916	Bakersfield	rabbit	0.9115	0.1121	0.1104	348	594	673	0.1655
4	808 m/s	0.5343	Chula Vista	dog	0.0681	0.2205	0.0815	79	445	914	0.3807
0	709 m/s	0.7243	Santa Clarita	chicken	0.3722	0.3178	0.8425	652	31	853	0.0996
5	742 m/s	0.8501	Santa Clarita	bird	0.7909	-0.0215	0.3389	549	697	680	0.4567
0	487 m/s	0.625	santa clarita	pig	0.1792	0.6039	0.6809	604	226	664	0.069
5	931 m/s	0.9403	Sacramento	cat	0.5937	0.0323	0.3879	123	567	622	0.268
5	1029 m/s	0.8241	Bakersfield	bird	0.8538	-0.0322	0.3874	398	579	438	0.6265
5	1075 m/s	0.9716	bAKERSFIELD	bird	0.7792	0.153	0.272	412	592	582	0.5977
3	365 m/s	0.1357	Moreno Valley	chicken	0.6844	0.773	0.5662	829	940	535	0.7984
2	126 m/s	0.348	San Jose	dog, rat	0.2445	0.944	1.1329	444	881	96	0.4442
0	459 m/s	0.6563	Modesto	pig	0.3792	0.3568	0.8102	840	215	899	0.1554
4	876 m/s	0.8187	Stockton	bird	0.3223	0.3048	0.0475	-92	533	941	0.4915
4	886 m/s	0.4662	Fresno	rabbit	0.245	0.5084	0.1022	-107	453	917	0.6523
1	331 m/s	0.3692	Irvine	reptile, guinea pig	0.6394	0.7245	0.1509	212	69	316	1.1463
4	549 m/s	0.6365	Stockton	rabbit	0.1188	0.4561	-0.1275	128	645	846	0.6805
5	878 m/s	1.0113	Sacramento	bird	1.0238	-0.0119	0.1704	299	428	374	0.626
3	508 m/s	-0.0563	San Francisco	fish	1.1325	0.7981	0.4694	725	666	291	0.7568
4	795 m/s	0.5189	San Bernardino	rabbit	0.344	0.2334	0.4667	276	359	989	0.7032
4	683 m/s	0.5857	Chula Vista	Rabbit	0.0882	0.0892	0.4042	41	412	955	0.2486
5	932 m/s	1.0978	Bakersfield	bird	0.8128	-0.0725	0.4965	212	883	457	0.505
4	862 m/s	0.5767	Oakland	rabbit	0.3907	0.2128	0.0399	-25	546	932	0.7702
5	1171 m/s	1.0145	Bakersfield	pig	0.8169	0.0726	0.1862	235	517	659	0.3371
2	244 m/s	0.3726	Riverside	ferret, rat	0.2249	1.066	1.1276	498	809	197	0.4383
4	765 m/s	0.7956	Stockton	rabbit	0.1408	0.3952	0.1747	150	890	1021	0.5328
2	140 m/s	0.2862	San Jose	rat, ferret	0.164	0.6497	0.957	1052	1073	-43	0.3099
3	428 m/s	0.2955	Santa Ana	fish	0.9356	0.6502	0.6795	1209	794	601	0.8241
4	670 m/s	0.6812	Modesto	rabbit	0.3696	0.5034	0.0901	197	544	1068	0.6478
5	946 m/s	1.0046	Irvine	cat	0.6889	0.026	0.0618	231	407	534	0.2757
4	864 m/s	0.5607	Stockton	rabbit	-0.085	0.0436	-0.032	160	627	926	0.6153
0	627 m/s	0.7605	Modesto	pig	0.2795	0.376	0.8267	846	100	878	0.271
2	45 m/s	0.0162	San Jose	ferret, dog	0.1639	1.1495	1.0449	462	999	181	0.1075
0	510 m/s	0.5788	Modesto	chicken	0.5692	0.657	0.6019	612	297	814	0.3208
3	546 m/s	0.0852	Moreno Valley	?	1.0329	0.7308	0.6572	816	912	328	0.8368
2	215 m/s	0.2852	Irvine	ferret	0.1296	0.8914	1.091	875	802	109	0.5682
1	365 m/s	0.511	Irvine	hamster, guinea pig	0.6686	0.5199	0.2722	289	513	382	0.9355
0	504 m/s	0.6614	Modesto	chicken	0.2851	0.2254	0.5229	n/a	470	742	0.3407
1	370 m/s	0.5321	San Jose	guinea pig, hamster	0.5769	0.4993	0.3688	382	-206	217	1.0449
2	228 m/s	0.1853	Anaheim	chicken	0.049	0.8527	0.8698	979	918	231	0.1025
2	242 m/s	0.4709	San Jose	?	0.0745	0.9002	0.9393	617	699	194	
2	177 m/s	0.2858	Riverside	rat	0.0992	1.0513	1.1812	459	778	189	0.4196
0	467 m/s	0.6334	Modesto	reptile, hamster	0.512	0.2752	0.4781	827	92	844	0.4163
1	311 m/s	0.5857	Los Angeles	chicken	0.823	0.7506	0.2623	333	-285	382	0.8884
2	65 m/s	0.0924	Santa Ana	ferret, rat	0.1437	0.967	0.7716	1022	836	15	0.2585
1	285 m/s	0.4195	Irvine	reptile	0.5864	0.3829	0.2376	229	202	358	0.9271
1	497 m/s	0.4774	N/A	hamster	0.6685	0.527	0.3486	558	62	364	0.952
2	222 m/s	0.2699	San Jose	dog, ferret	0.2298	0.9959	0.7855	418	771	132	0.4634
2	143 m/s	0.1924	San Jose	rat	0.338	1.0558	0.9001	411	740	121	0.3783
4	883 m/s	0.6229	Chula Vista	rabbit	0.5582	0.1571	0.0757	298	289	996	0.4245
3	604 m/s	0.3825	San Francisco	fish	0.8961	0.9332	0.6903	976	576	424	0.7467
1	290 m/s	0.3846	Fremont	guinea pig, hamster	0.7854	0.4993	0.3336	71	?	60	0.891
3	601 m/s	-0.0576	Modesto	fish	0.7569	0.579	0.687	756	981	302	0.792
2	33 m/s	0.2493	Anaheim	rat, ferret	-0.0908	1.0911	0.9943	611	926	209	0.3102
4	914 m/s	0.6833	Santa Clarita	rabbit	0.1876	0.5576	-0.1046	86	444	770	0.6394
2	149 m/s	0.0769	Santa Clarita	dog, ferret	0.0644	0.8615	1.2083	391	1212	233	0.1347
0	700 m/s	0.6672	Santa Clarita	chicken	0.3222	0.3215	0.3537	1009	115	794	-0.0305
0	561 m/s	0.4073	Santa Clarita	pig	0.3918	0.3748	0.689	858	342	687	0.1891
2	98 m/s	0.4898	San Jose	dog, rat	0.138	1.1046	0.8709	594	961	-4	0.3154
3	528 m/s	0.0885	Santa Ana	fish	0.9921	0.6574	0.643	781	1074	273	0.7742
5	789 m/s	1.1308	Sacramento	bird	0.9659	0.0609	0.4635	186	481	615	0.6142
1	238 m/s	0.4018	Irvine	reptile, hamster	0.6089	0.5706	0.0638	461	334	222	1.0786
1	442 m/s	0.5282	Fremont	chicken	0.7355	0.6953	0.1889	-8	-85	181	1.0101
2	278 m/s	0.3104	Anaheim	rat	0.1908	1.0999	1.0251	340	1239	110	0.4641
4	771 m/s	0.5738	Stockton	rabbit	0.1596	0.3307	0.1027	92	384	1059	0.6691
4	755 m/s	0.8336	San Bernardino	rabbit	0.1167	0.2011	-0.0073	242	102	1096	0.557
5	1016 m/s	1.0734	Bakersfield	cat	0.5102	0.0931	0.5793	458	831	420	0.2815
0	711 m/s	0.6903	Santa Clarita	pig	0.2698	0.2205	0.512	491	431	1006	0.2565
0	672 m/s	0.9252	Modesto	Chicken	0.2996	0.3762	0.9083	653	357	738	0.0974
0	486 m/s	0.7753	Modesto	CHICKEN	0.4841	0.4458	0.7051	824	412	557	0.3028
3	644 m/s	0.1266	Moreno Valley	fish	0.8577	0.721	0.6568	854	760	603	0.8197
1	283 m/s	0.436	Irvine	hamster, guinea pig	0.7421	0.5357	NULL	169	45	142	1.1869
2	218 m/s	0.2192	San Jose	dog	0.0719	0.9418	1.1105	582	732	-19	0.3957
0	588 m/s	0.5986	Modesto	rat, dog	0.0871	0.5003	0.7505	736	58	863	0.1749
0	650 m/s	0.5015	Santa Clarita	chicken	0.3861	0.3623	0.3664	807	281	708	0.2772
2	445 m/s	0.184	Anaheim	dog	-0.0431	0.8133	0.8208	345	560	343	0.3039
4	872 m/s	0.5791	Stockton	rabbit	0.2142	0.0546	-0.1997	264	489	840	0.5112
1	431 m/s	0.48	Riverside	guinea pig	0.6802	0.6106	0.4775	124	61	354	0.9406
4	771 m/s	0.6692	Stockton	rabbit	0.2798	0.1302	0.3187	141	342	1010	0.3793
3	579 m/s	0.2673	Moreno Valley	fish	1.0146	0.7259	0.8775	714	702	297	1.0238
1	430 m/s	0.3832	Long Beach	hamster, reptile	0.673	0.271	0.2633	222	181	343	0.9411
0	550 m/s	0.494	Santa Clarita	pig	-0.0364	0.4168	0.7414	966	423	N/A	0.1129
1	271 m/s	0.3489	Irvine	guinea pig, hamster	0.6657	0.5159	0.2678	496	99	179	0.9156
1	380 m/s	0.4135	Santa Ana	reptile, guinea pig	0.5878	0.6307	0.1734	531	-97	200	0.9664
3	432 m/s	0.2186	Moreno Valley	fish	0.8369	0.6705	0.7503	956	811	268	0.7001
5	968 m/s	0.7298	Santa Ana	bird	0.9059	-0.0401	0.3528	382	755	535	0.3876
2	60 m/s	0.1204	Anaheim	ferret, dog	-0.1317	0.9153	0.7676	388	976	433	0.4106
5	1002 m/s	0.8987	Bakersfield		0.976	0.0969	0.4542	403	455	627	0.5839
3	309 m/s	0.2062	San Francisco	cat	0.8211	0.7984	0.8959	966	898	465	0.7925
1	None	0.2173	Long Beach	hamster, reptile	0.5561	0.4921	0.3865	285	118	294	0.8987
2	168 m/s	0.3352	Riverside	rat, ferret	0.1529	0.6627	1.0065	427	757	-28	0.3755
0	689 m/s	0.7706	Modesto	chicken	0.2907	0.4536	0.759	770	262	757	0.1711
0	545 m/s	0.6725	Santa Clarita	chicken	0.4786	0.4354	0.737	1000	267	741	0.0759
0	529 m/s	0.5428	Modesto	pig	0.2475	0.2856	0.7026	706	201	759	0.2329
4	730 m/s	0.6655	Chula Vista	rabbit	0.3223	0.1829	-0.0951	271	426	903	0.6294
5	965 m/s	0.8773	Sacramento	bird	0.9458	0.1437	0.1375	272	738	499	0.5144
1	408 m/s	0.7521	Long Beach	hamster, reptile	0.482	0.6066	0.1151	289	223	187	0.8984
0	643 m/s	0.8263	Modesto	fish	0.281	0.2892	0.79	1171	177	801	0.1602
5	934 m/s	0.9391	Sacramento	BIRD	0.9262	-0.0311	0.2801	270	675	536	0.5647
0	599 m/s	0.8208	Modesto	pig	0.6158	0.2091	0.5159	766	354	745	0.1586
3	748 m/s	0.2171	Santa Ana	fish	1.1587	0.7813	0.6748	811	1144	501	0.9013
1	343 m/s	0.4801	Los Angeles	pig	0.5228	0.5466	0.3054	349	-25	260	1.0312
5	1004 m/s	1.1319	Santa Ana	bird	0.8661	0.1598	0.308	351	532	516	0.6535
0	650 m/s	0.4033	Santa Clarita	chicken	0.3103	0.461	0.7998	973	-21	687	0.3048
1	338 m/s	0.4402	Fremont	guinea pig	0.7087	0.5591	0.1415	338	-203	107	0.8885
5	943 m/s	0.8041	Fresno	cat	0.7413	-0.0692	0.4568	130	611	567	0.408
3	451 m/s	0.0515	Moreno Valley	fish	0.8836	0.731	0.5011	896	979	438	0.6988
0	580 m/s	0.6739	santa clarita	pig	0.2118	0.4339	0.8303	N/A	232	841	0.2327
3	497 m/s	0.0928	Santa Ana	fish	0.8933	0.8371	0.6921	914	912	513	1.0672
4	897 m/s	0.7782	San Francisco	rabbit	?	0.5298	0.0872	412	376	916	0.3755
3	391 m/s	0.0404	San Francisco	fish	0.7508	0.8644	0.5334	746	766	567	0.5445
2	45 m/s	0.2678	Anaheim	fish	0.0989	1.0003	0.9472	776	795	196	0.3431
1	169 m/s	0.3483	Fremont	hamster, reptile	0.7788	0.6034	0.2975	481	284	247	0.7333
0	668 m/s	0.7465	Santa Clarita	chicken	0.14	0.4825	0.6942	873	363	711	0.058
3	423 m/s	-0.0214	Santa Ana	fish	1.0949	0.6112	0.753	424	1099	456	0.8741
2	19 m/s	0.4307	Anaheim	rat	0.065	0.7544	0.9828	752	756	13	0.1211
1	393 m/s	0.1714	Fremont	reptile, hamster	0.5669	0.4278	0.3812	218	311	392	1.0025
3	522 m/s	0.2325	Moreno Valley	fish	0.7414	0.6839	0.574	1148	875	175	1.1678
5	865 m/s	0.659	San Diego	bird	0.9522	0.1237	0.3372	385	432	436	0.5166
1	250 m/s	0.427	San Francisco	reptile, guinea pig	0.4527	0.4668	0.0549	299	-189	207	1.0203
1	274 m/s	0.3898	Los Angeles	guinea pig, reptile	0.7274	0.5743	0.1195	346	-51	95	0.9524
5	871 m/s	0.9818	Sacramento	cat	0.7998	0.08	0.4489	408	734	753	0.1944
5	829 m/s	1.0534	Bakersfield	cat	0.9753	0.1966	0.2717	540	756	452	0.5842
5	950 m/s	0.7319	Sacramento	Bird	0.6622	0.1865	0.4386	372	804	332	0.3101
3	309 m/s	0.12	Moreno Valley	fish	0.8458	0.7815	0.4797	879	1007	497	0.8516
1	390 m/s	0.1387	Fremont	hamster, guinea pig	0.6518	0.5295	0.2039	592	274	275	0.9027
3	557 m/s	0.2388	San Francisco	fish	1.1402	0.7162	0.5598	882	974	283	0.8074
5	N/A	0.8439	Moreno Valley	bird	0.5845	-0.039	0.2642	295	717	511	0.3473
1	417 m/s	0.4016	Fremont	guinea pig	0.6471	0.665	None	144	109	352	1.044
1	340 m/s	0.5967	Fremont	reptile, hamster	0.445	0.6148	0.2998	410	30	244	0.7521
4	765 m/s	0.8076	Fresno	rabbit	0.1978	-0.0145	0.3043	232	315	1094	0.7876
0	698 m/s	0.4849	Santa Clarita	pig	0.452	0.3793	0.8661	740	287	764	0.0967
0	614 m/s	0.9004	Modesto	pig	0.2202	0.318	0.6603	717	465	965	0.2753
1	356 m/s	0.3097	Long Beach	guinea pig	0.7275	0.551	0.1171	33	300	259	0.9963
1	354 m/s	0.4054	Irvine	hamster	0.4919	0.6007	0.3323	241	-127	174	1.1049
0	555 m/s	0.8335	Santa Clarita	chicken	0.3372	0.4108	0.8955	882	431	715	0.1135
0	558 m/s	0.6309	Modesto	pig	0.4992	0.3795	0.496	624	9	851	0.1284
1	306 m/s	0.4008	Fremont	guinea pig	0.7249	0.6631	0.3787	77	31	380	0.8761
0	726 m/s	0.5086	Santa Clarita	chicken	0.3112	0.457	0.7392	439	356	1016	-0.0681
5	1051 m/s	0.972	Bakersfield		0.7978	0.0179	0.1895	26	949	453	0.6672
5	n/a	1.2068	Sacramento	cat	0.8933	0.2014	0.5211	272	864	522	0.7083
1	349 m/s	0.3265	Irvine	Reptile	0.5478	0.4957	0.0744	483	279	206	0.8082
4	913 m/s	0.6242	Chula Vista	rabbit	0.2722	0.2542	0.1639	152	118	706	0.6986
1	460 m/s	0.4073	Sacramento	hamster, guinea pig	0.5476	0.4562	0.1521	349	35	354	0.8401
3	609 m/s	0.2395	San Bernardino	fish	0.9898	0.7616	0.6391	885	880	554	0.9982
0	737 m/s	0.4489	Modesto	chicken	0.2486	0.4636	0.6299	484	162	767	0.141
0	609 m/s	0.6587	Modesto	pig	0.0064	0.2853	0.6944	570	368	884	0.0814
0	456 m/s	0.7646	Santa Clarita	pig	0.5091	0.2821	0.6372	1026	435	840	0.1816
5	832 m/s	0.9415	San Diego	cat	0.8876	0.0	0.3536	N/A	1062	717	0.4579
3	379 m/s	-0.1797	Moreno Valley	fish	0.7949	0.7352	0.5643	754	863	372	0.8957
3	478 m/s	0.3256	Santa Ana	rabbit	0.9826	0.6643	0.7976	933	868	602	0.6752
2	116 m/s	0.3446	Riverside	dog, rat	0.005	1.0077	1.0399	757	895	100	0.3738
1	228 m/s	0.449	Fremont	reptile, guinea pig	0.787	0.475	-0.0435	409	36	419	0.9305
5	1045 m/s	0.9318	Sacramento	cat	0.7026	0.0473	0.3109	412	741	674	0.5515
5	1003 m/s	0.9572	San Diego	cat	0.5908	-0.0302	0.2585	107	463	595	0.4489
3	420 m/s	0.0806	Riverside	fish	0.9184	0.6811	0.6208	1338	1016	316	0.7441
5	912 m/s	1.0636	San Diego	cat	0.8371	0.3044	0.2886	512	509	536	0.4897
1	293 m/s	0.3745	Los Angeles	guinea pig, reptile	0.7099	0.636	0.2218	103	472	-34	0.9569
3	590 m/s	0.1524	Moreno Valley	fish	0.9145	0.5644	0.5925	953	916	379	0.9122
3	393 m/s	-0.0545	San Francisco	fish	1.2395	0.766	0.5651	1194	1027	376	0.7495
5	1055 m/s	0.9051	San Diego	bird	0.8435	0.1256	0.1182	241	389	603	0.2839
3	599 m/s	-0.0289	Modesto	fish	0.8861	0.8273	0.7598	1031	1001	404	0.8676
5	1003 m/s	0.8139	Bakersfield	bird	0.8229	0.0396	0.4282	652	675	587	0.4593
1	355 m/s	0.4996	Irvine	hamster	?	0.538	0.466	380	132	220	0.9687
1	467 m/s	0.2848	Irvine	reptile	0.3348	0.6057	0.4111	122	17	314	0.8132
0	763 m/s	0.7893	Modesto	pig	0.2086	0.4483	0.9726	740	265	743	0.2241
0	579 m/s	0.723	Santa Clarita	pig	0.2967	0.476	0.7784	712	572	811	-0.0414
4	672 m/s	0.9724	Oakland	rabbit	0.1054	0.3102	0.1962	393	610	1068	0.5804
2	114 m/s	0.1032	Anaheim	rat, ferret	-0.0182	0.784	1.0763	550	858	282	0.2391
2	130 m/s	0.1916	Riverside	dog, rat	0.1845	0.9749	0.699	645	609	24	0.3397
1	471 m/s	0.5203	Fremont	guinea pig	0.4501	0.2941	0.1748	36	81	351	0.8019
2	206 m/s	0.1376	San Jose	ferret	0.1881	1.1283	1.364	626	861	64	0.5174
1	416 m/s	0.2916	Los Angeles	fish	0.7119	0.571	0.087	415	403	264	0.7938
1	647 m/s	0.4992	Fremont	reptile	0.6684	0.6574	0.2998	439	376	115	0.7538
1	383 m/s	0.4027	Irvine	cat	0.5937	0.666	0.0369	293	81	219	0.8987
2	231 m/s	0.3439	Anaheim	dog	0.0168	0.9844	1.2087	455	641	8	0.1762
0	912 m/s	0.7976	Santa Clarita	chicken	0.3905	0.5014	0.8	547	244	763	-0.1334
1	280 m/s	0.5705	Long Beach	hamster, reptile	0.7572	0.6733	0.2849	437	137	234	0.8248
4	757 m/s	0.6181	Fresno	rat, ferret	0.3036	0.6057	0.2159	263	675	842	0.6794
4	761 m/s	0.7971	Stockton	rabbit	0.2197	0.2807	-0.0159	437	471	932	0.471
5	761 m/s	0.9088	San Diego	cat	1.0074	-0.0948	0.3933	444	523	732	0.486
2	209 m/s	0.2906	ANAHEIM	dog	0.1262	0.9748	1.0304	749	779	65	0.2557
4	809 m/s	0.6403	Oakland	rabbit	0.0838	0.1672	0.1429	-15	643	967	0.442
5	846 m/s	1.0106	San Diego	bird	0.7328	-0.1198	0.5266	400	466	643	0.3653
1	278 m/s	0.2661	Irvine	rabbit	0.5902	0.9309	0.2456	102	207	352	0.815
1	523 m/s	0.4093	Los Angeles	guinea pig	0.6075	0.3896	0.4252	460	234	292	0.7249
3	194 m/s	0.0297	Santa Ana	fish	1.0169	0.857	0.726	609	1003	364	0.6234
5	944 m/s	1.0884	Bakersfield	bird	0.963	0.1433	0.3549	350	459	760	0.5274
3	417 m/s	-0.0284	Santa Ana	fish	0.9375	0.7946	0.6284	896	809	521	0.8324
3	356 m/s	-0.0158	Sacramento	fish	1.0157	0.5837	0.6838	941	903	277	1.0542
3	None	0.0058	San Francisco	fish	0.9356	0.6948	0.5234	991	910	302	0.8144
0	675 m/s	0.6731	Modesto	pig	0.2588	0.3898	0.6635	969	205	668	0.0331
0	702 m/s	0.593	Santa Clarita	pig	0.3916	0.3798	0.7536	719	557	734	0.2217
3	283 m/s	0.0848	San Diego	reptile, hamster	0.8389	0.8097	0.5802	944	712	338	0.7197
0	313 m/s	0.6257	Santa Clarita	pig	0.5137	0.1878	0.7285	991	486	790	0.0294
0	450 m/s	0.7909	Modesto	fish	0.3073	0.4336	0.7746	930	296	978	0.4001
0	703 m/s	0.6275	Santa Clarita	pig	0.2797	0.3257	0.6538	789	242	643	0.054
5	1003 m/s	0.7279	San Diego	bird	0.7182	0.1099	0.296	491	486	647	0.098
3	435 m/s	0.0312	Santa Ana	fish	0.8723	0.7369	0.6329	638	717	261	0.8192
0	498 m/s	0.6999	Modesto	bird	0.478	0.498	1.0899	826	196	735	-0.0718
4	686 m/s	0.5296	sAN bERNARDINO	chicken	0.4878	0.3302	0.0735	400	578	N/A	0.6567
4	677 m/s	0.7234	Chula Vista	rabbit	0.307	0.1283	-0.0901	189	161	876	n/a
5	1051 m/s	0.758	Oakland	cat	0.8677	0.0341	0.3605	309	704	547	0.3827
0	529 m/s	0.7791	NULL	chicken	0.4356	0.3048	0.7672	527	405	687	0.1335
1	116 m/s	0.3833	Santa Ana	chicken	0.5443	0.4504	0.5327	394	-6	315	0.831
2	186 m/s	0.2054	Anaheim	dog, rat	0.2009	1.0563	0.9268	687	704	-4	0.2234
5	856 m/s	1.0232	Sacramento	bird	1.0745	0.0969	0.4837	329	782	610	0.5076
5	859 m/s	N/A	Bakersfield	bird	0.8716	0.0929	0.2536	273	556	609	0.3914
1	227 m/s	0.3816	Irvine	chicken	n/a	0.5392	0.106	235	153	386	1.0988
1	304 m/s	0.3806	Los Angeles	reptile, hamster	0.5146	0.5806	0.0846	428	-16	322	1.0304
3	462 m/s	0.0133	Anaheim	fish	1.2286	0.8296	0.4993	1029	1042	283	0.7213
2	173 m/s	0.2732	San Jose	rat	0.2694	0.8761	0.8597	988	749	89	0.237
3	491 m/s	0.1388	Santa Ana	fish	1.0052	0.6941	0.7758	934	841	461	0.858
